* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 13, 2026 7:07:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Aug 13
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
156.738281 79.794 97.1440
157.104492 77.427 104.2173
157.470703 77.080 121.8074
157.836914 78.956 129.4402
158.203125 80.542 124.4233
158.569336 80.969 113.9673
158.935547 79.957 102.9539
159.301758 76.939 97.8320
159.667969 72.076 125.3872
160.034180 76.455 172.6841
160.400391 81.845 172.3516
160.766602 84.949 159.8247
161.132812 86.512 143.8875
161.499023 86.789 126.7788
161.865234 85.673 109.7144
162.231445 82.510 94.7959
162.597656 74.468 96.4922
162.963867 76.098 -163.2822
163.330078 84.105 -165.5159
163.696289 87.810 179.7505
164.062500 89.694 163.6548
164.428711 90.428 148.2290
164.794922 90.286 134.7471
165.161133 89.441 124.7500
165.527344 88.162 120.3745
165.893555 87.072 123.3035
166.259766 87.038 130.5991
166.625977 88.068 135.0864
166.992188 89.367 134.1365
167.358398 90.426 129.4265
167.724609 91.095 122.9680
168.090820 91.361 116.2412
168.457031 91.275 110.4045
168.823242 90.948 106.3782
169.189453 90.563 104.5457
169.555664 90.303 104.2947
169.921875 90.200 104.2976
170.288086 90.105 103.7935
170.654297 89.856 103.3726
171.020508 89.469 104.4690
171.386719 89.214 107.9211
171.752930 89.418 112.2563
172.119141 90.048 114.4817
172.485352 90.729 113.2847
172.851562 91.148 109.5386
173.217773 91.199 104.7930
173.583984 90.926 100.3596
173.950195 90.456 96.9797
174.316406 89.922 94.7283
174.682617 89.393 93.3081
175.048828 88.882 92.6584
175.415039 88.440 93.1475
175.781250 88.237 94.8098
176.147461 88.426 96.3774
176.513672 88.920 95.9751
176.879883 89.417 92.9709
177.246094 89.655 88.3411
177.612305 89.520 83.9055
177.978516 89.089 81.7400
178.344727 88.694 83.3384
178.710938 88.823 87.6836
179.077148 89.613 90.9214
179.443359 90.641 90.4429
179.809570 91.448 86.7158
180.175781 91.797 81.4780
180.541992 91.613 76.6616
180.908203 90.947 74.4441
181.274414 90.099 77.2241
181.640625 89.788 85.4268
182.006836 90.578 93.8506
182.373047 91.977 96.8320
182.739258 93.222 94.3967
183.105469 93.968 88.9907
183.471680 94.147 82.9265
183.837891 93.833 78.2144
184.204102 93.259 76.5801
184.570312 92.860 78.4773
184.936523 93.027 81.5273
185.302734 93.651 82.1670
185.668945 94.281 79.3135
186.035156 94.591 74.2375
186.401367 94.482 68.8782
186.767578 94.037 65.1091
187.133789 93.526 64.1938
187.500000 93.334 65.6057
187.866211 93.630 66.6768
188.232422 94.165 65.1116
188.598633 94.571 60.8896
188.964844 94.637 55.3977
189.331055 94.328 50.3318
189.697266 93.770 47.1853
190.063477 93.235 46.5896
190.429688 93.009 47.4080
190.795898 93.112 47.2739
191.162109 93.264 44.8469
191.528320 93.173 40.6580
